index,timestamp,relative_time,value
1,1770301102,0,37195562.220723376
2,1770301103,1,37195562.220723376
3,1770301104,2,37195562.220723376
4,1770301105,3,37195562.220723376
5,1770301106,4,37263332.94554856
6,1770301107,5,37263332.94554856
7,1770301108,6,37263332.94554856
8,1770301109,7,37263332.94554856
9,1770301110,8,37263332.94554856
10,1770301111,9,31013806.218918238
11,1770301112,10,30392750.66982577
12,1770301113,11,37194182.055645704
13,1770301114,12,37194182.055645704
14,1770301115,13,37194182.055645704
15,1770301116,14,37194182.055645704
16,1770301117,15,37194182.055645704
17,1770301118,16,37194182.055645704
18,1770301119,17,37194182.055645704
19,1770301120,18,37194182.055645704
20,1770301121,19,37194182.055645704
21,1770301122,20,37194182.055645704
22,1770301123,21,37166720.01336452
23,1770301124,22,37166720.01336452
24,1770301125,23,37166720.01336452
25,1770301126,24,37166720.01336452
26,1770301127,25,37166720.01336452
27,1770301128,26,37166720.01336452
28,1770301129,27,37166720.01336452
29,1770301130,28,37166720.01336452
30,1770301131,29,37185475.26457845
31,1770301132,30,37185475.26457845
32,1770301133,31,37185475.26457845
33,1770301134,32,37151969.78051681
34,1770301135,33,37151969.78051681
35,1770301136,34,37151969.78051681
36,1770301137,35,37151969.78051681
37,1770301138,36,37151969.78051681
38,1770301139,37,37151969.78051681
39,1770301140,38,37151969.78051681
40,1770301141,39,37151969.78051681
41,1770301142,40,37151969.78051681
42,1770301143,41,37151969.78051681
43,1770301144,42,37151969.78051681
44,1770301145,43,37151969.78051681
45,1770301146,44,37151969.78051681
46,1770301147,45,37151969.78051681
47,1770301148,46,37151969.78051681
48,1770301149,47,34719694.14104883
49,1770301150,48,34719694.14104883
50,1770301151,49,34719694.14104883
51,1770301152,50,34719694.14104883
52,1770301153,51,34719694.14104883
53,1770301154,52,33422254.43140769
54,1770301155,53,33422254.43140769
55,1770301156,54,33422254.43140769
56,1770301157,55,33422254.43140769
57,1770301158,56,33422254.43140769
58,1770301159,57,33422254.43140769
59,1770301160,58,33422254.43140769
