index,timestamp,relative_time,value
1,1770297927,0,5443584.0
2,1770297928,1,5443584.0
3,1770297929,2,5443584.0
4,1770297930,3,5443584.0
5,1770297931,4,5443584.0
6,1770297932,5,5443584.0
7,1770297933,6,6230016.0
8,1770297934,7,6230016.0
9,1770297935,8,6230016.0
10,1770297936,9,6230016.0
11,1770297937,10,7004160.0
12,1770297938,11,7004160.0
13,1770297939,12,7004160.0
14,1770297940,13,7004160.0
15,1770297941,14,7004160.0
16,1770297942,15,7004160.0
17,1770297943,16,7004160.0
18,1770297944,17,7004160.0
19,1770297945,18,7004160.0
20,1770297946,19,6746112.0
21,1770297947,20,6746112.0
22,1770297948,21,6746112.0
23,1770297949,22,6746112.0
24,1770297950,23,6746112.0
25,1770297951,24,6746112.0
26,1770297952,25,6746112.0
27,1770297953,26,6746112.0
28,1770297954,27,6746112.0
29,1770297955,28,6746112.0
30,1770297956,29,6742016.0
31,1770297957,30,6742016.0
32,1770297958,31,6742016.0
33,1770297959,32,6742016.0
34,1770297960,33,6742016.0
35,1770297961,34,6733824.0
36,1770297962,35,6733824.0
37,1770297963,36,6733824.0
38,1770297964,37,6733824.0
39,1770297965,38,6733824.0
40,1770297966,39,6733824.0
41,1770297967,40,6221824.0
42,1770297968,41,6221824.0
43,1770297969,42,6221824.0
44,1770297970,43,6221824.0
45,1770297971,44,6221824.0
46,1770297972,45,5971968.0
47,1770297973,46,5971968.0
48,1770297974,47,5971968.0
49,1770297975,48,5971968.0
50,1770297976,49,5971968.0
51,1770297977,50,5971968.0
52,1770297978,51,5971968.0
53,1770297979,52,5971968.0
54,1770297980,53,5971968.0
55,1770297981,54,5971968.0
56,1770297982,55,5971968.0
57,1770297983,56,5971968.0
58,1770297984,57,5967872.0
59,1770297985,58,5967872.0
60,1770297986,59,5967872.0
61,1770297987,60,5967872.0
62,1770297988,61,5955584.0
63,1770297989,62,5955584.0
64,1770297990,63,5955584.0
65,1770297991,64,5955584.0
66,1770297992,65,5955584.0
67,1770297993,66,5955584.0
68,1770297994,67,5955584.0
69,1770297995,68,5955584.0
70,1770297996,69,5955584.0
71,1770297997,70,5955584.0
