index,timestamp,relative_time,value
1,1770300648,0,13.99096579679777
2,1770300649,1,13.992311746920404
3,1770300650,2,12.981011721284721
4,1770300651,3,13.992975479782814
5,1770300652,4,13.992975479782814
6,1770300653,5,13.992975479782814
7,1770300654,6,13.992975479782814
8,1770300655,7,12.914198181222165
9,1770300656,8,12.797596718604595
10,1770300657,9,12.680995255987025
11,1770300658,10,13.99171789638693
12,1770300659,11,13.99171789638693
13,1770300660,12,13.99171789638693
14,1770300661,13,13.99171789638693
15,1770300662,14,13.99171789638693
16,1770300663,15,13.99171789638693
17,1770300664,16,13.99171789638693
18,1770300665,17,12.892642885740866
19,1770300666,18,12.822915581276149
20,1770300667,19,13.989359208054932
21,1770300668,20,13.989359208054932
22,1770300669,21,13.989359208054932
23,1770300670,22,13.988913083019378
24,1770300671,23,13.988913083019378
25,1770300672,24,13.988913083019378
26,1770300673,25,13.988913083019378
27,1770300674,26,13.98891308301938
28,1770300675,27,13.98891308301938
29,1770300676,28,13.987800832186753
30,1770300677,29,13.987800832186753
31,1770300678,30,13.987800832186753
32,1770300679,31,13.985769302749848
33,1770300680,32,13.985769302749848
34,1770300681,33,13.98487116769426
35,1770300682,34,13.98487116769426
36,1770300683,35,13.98487116769426
37,1770300684,36,13.98487116769426
38,1770300685,37,13.98487116769426
39,1770300686,38,13.98487116769426
40,1770300687,39,13.98487116769426
41,1770300688,40,13.98487116769426
42,1770300689,41,13.98487116769426
43,1770300690,42,13.98487116769426
44,1770300691,43,13.69912721702125
45,1770300692,44,13.69912721702125
46,1770300693,45,13.403209920935334
47,1770300694,46,13.403209920935334
48,1770300695,47,13.308122778385155
49,1770300696,48,13.308122778385155
50,1770300697,49,13.308122778385155
51,1770300698,50,13.308122778385155
52,1770300699,51,13.15223196514154
53,1770300700,52,13.15223196514154
54,1770300701,53,13.23132837253262
55,1770300702,54,13.23132837253262
56,1770300703,55,13.23132837253262
57,1770300704,56,13.23132837253262
58,1770300705,57,13.23132837253262
59,1770300706,58,13.357074409810323
60,1770300707,59,13.357074409810323
61,1770300708,60,13.357074409810323
62,1770300709,61,11.868934107088082
63,1770300710,62,11.977745230548873
64,1770300711,63,12.086556354009668
65,1770300712,64,12.195367477470462
66,1770300713,65,12.304178600931255
67,1770300714,66,11.610108714749341
68,1770300715,67,12.283286865226783
69,1770300716,68,12.174475741765988
70,1770300717,69,12.065664618305195
71,1770300718,70,12.022404828844355
72,1770300719,71,12.130115954084804
73,1770300720,72,13.143354509221712
74,1770300721,73,13.143354509221712
75,1770300722,74,13.33140657826733
76,1770300723,75,13.33140657826733
77,1770300724,76,13.33140657826733
78,1770300725,77,13.33140657826733
79,1770300726,78,13.33140657826733
80,1770300727,79,13.2376862228591
81,1770300728,80,13.2376862228591
82,1770300729,81,13.2376862228591
83,1770300730,82,13.2376862228591
84,1770300731,83,13.2376862228591
85,1770300732,84,12.364894846010834
86,1770300733,85,13.351757293059025
87,1770300734,86,13.351757293059025
88,1770300735,87,13.424605988101895
89,1770300736,88,12.620274427256962
90,1770300737,89,13.693753408017496
91,1770300738,90,13.693753408017496
92,1770300739,91,13.987691743234977
93,1770300740,92,13.987691743234977
94,1770300741,93,13.987691743234977
95,1770300742,94,13.987691743234977
96,1770300743,95,13.987691743234977
97,1770300744,96,13.987691743234977
98,1770300745,97,13.987691743234977
99,1770300746,98,13.987691743234977
100,1770300747,99,13.987691743234977
101,1770300748,100,13.987691743234977
102,1770300749,101,12.909979670109841
103,1770300750,102,13.98324910290133
104,1770300751,103,13.979005057365537
105,1770300752,104,13.979005057365537
106,1770300753,105,13.9768721877505
107,1770300754,106,13.9768721877505
