index,timestamp,relative_time,value
1,1770297927,0,70145495.85154915
2,1770297928,1,69524614.00061652
3,1770297929,2,68903732.1496839
4,1770297930,3,68282850.29875126
5,1770297931,4,67661968.44781862
6,1770297932,5,67041086.596885994
7,1770297933,6,66420204.74595336
8,1770297934,7,74562046.83397263
9,1770297935,8,74562046.83397263
10,1770297936,9,74562046.83397263
11,1770297937,10,74562046.83397263
12,1770297938,11,74562046.83397263
13,1770297939,12,74562046.83397263
14,1770297940,13,68949315.85457972
15,1770297941,14,68328526.7442843
16,1770297942,15,68361828.66725451
17,1770297943,16,67740287.02928568
18,1770297944,17,74641766.67112651
19,1770297945,18,74641766.67112651
20,1770297946,19,74641766.67112651
21,1770297947,20,74641766.67112651
22,1770297948,21,74641766.67112651
23,1770297949,22,69267216.73739405
24,1770297950,23,74619945.12856565
25,1770297951,24,74680292.03960344
26,1770297952,25,74768995.59432425
27,1770297953,26,74768995.59432425
28,1770297954,27,74768995.59432425
29,1770297955,28,74768995.59432425
30,1770297956,29,74768995.59432425
31,1770297957,30,74695649.86815068
32,1770297958,31,74695649.86815068
33,1770297959,32,74695649.86815068
34,1770297960,33,74695649.86815068
35,1770297961,34,74695649.86815068
36,1770297962,35,74627606.04214893
37,1770297963,36,74584237.40872
38,1770297964,37,74584237.40872
39,1770297965,38,74584237.40872
40,1770297966,39,74584237.40872
41,1770297967,40,74584237.40872
42,1770297968,41,74584237.40872
43,1770297969,42,74584237.40872
44,1770297970,43,74584237.40872
45,1770297971,44,74496013.03849946
46,1770297972,45,71750144.29434617
47,1770297973,46,71750144.29434617
48,1770297974,47,71750144.29434617
49,1770297975,48,64762098.84890776
50,1770297976,49,65381783.15557584
51,1770297977,50,66001467.462243915
52,1770297978,51,65842208.595430225
53,1770297979,52,65222524.288762145
54,1770297980,53,64602839.982094064
55,1770297981,54,63983155.675425984
56,1770297982,55,68708049.31081489
57,1770297983,56,68968903.2952202
58,1770297984,57,60256967.598960534
59,1770297985,58,60813900.10478136
60,1770297986,59,61370832.61060218
61,1770297987,60,61927765.116422996
62,1770297988,61,62484697.62224384
63,1770297989,62,63041630.12806465
64,1770297990,63,67653773.8529355
65,1770297991,64,67653773.8529355
66,1770297992,65,67653773.8529355
67,1770297993,66,68106744.23752463
68,1770297994,67,62154638.35440408
69,1770297995,68,67098595.76043932
70,1770297996,69,67098595.76043932
71,1770297997,70,62330510.93393865
72,1770297998,71,61773578.42811783
73,1770297999,72,61216645.92229701
74,1770298000,73,60659713.41647618
75,1770298001,74,60102780.910655364
76,1770298002,75,68225444.07171737
77,1770298003,76,68225444.07171737
78,1770298004,77,67496325.36371912
79,1770298005,78,67496325.36371912
80,1770298006,79,67496325.36371912
81,1770298007,80,67496325.36371912
82,1770298008,81,67496325.36371912
83,1770298009,82,68319903.15438531
84,1770298010,83,67689809.26712747
85,1770298011,84,67689809.26712747
86,1770298012,85,67689809.26712747
87,1770298013,86,67689809.26712747
88,1770298014,87,67689809.26712747
89,1770298015,88,67689809.26712747
90,1770298016,89,67689809.26712747
91,1770298017,90,70374834.80172037
92,1770298018,91,64522419.45479987
93,1770298019,92,63914107.69668117
94,1770298020,93,63305795.93856247
95,1770298021,94,70470009.2634609
96,1770298022,95,65663276.920153804
97,1770298023,96,66340062.15233768
98,1770298024,97,66951999.7000247
99,1770298025,98,67563937.24771173
100,1770298026,99,68175874.79539877
101,1770298027,100,73310132.8100842
102,1770298028,101,73310132.8100842
103,1770298029,102,73310132.8100842
104,1770298030,103,73310132.8100842
105,1770298031,104,73310132.8100842
106,1770298032,105,73494121.21441156
107,1770298033,106,73494121.21441156
108,1770298034,107,73494121.21441156
109,1770298035,108,73494121.21441156
110,1770298036,109,73494121.21441156
111,1770298037,110,73494121.21441156
112,1770298038,111,73698537.10273403
113,1770298039,112,73698537.10273403
114,1770298040,113,73698537.10273403
115,1770298041,114,73698537.10273403
116,1770298042,115,73769609.44459508
117,1770298043,116,73802503.15624419
118,1770298044,117,73802503.15624419
119,1770298045,118,73802503.15624419
120,1770298046,119,73802503.15624419
121,1770298047,120,73802503.15624419
122,1770298048,121,73802503.15624419
123,1770298049,122,73833670.14073995
124,1770298050,123,73833670.14073995
125,1770298051,124,73833670.14073995
126,1770298052,125,73833670.14073995
127,1770298053,126,68626650.46070099
128,1770298054,127,73859990.30074203
129,1770298055,128,73859990.30074203
130,1770298056,129,73859990.30074203
131,1770298057,130,73859990.30074203
132,1770298058,131,73859990.30074203
133,1770298059,132,73815031.91508591
134,1770298060,133,73815031.91508591
135,1770298061,134,73815031.91508591
136,1770298062,135,67366570.82083279
137,1770298063,136,73923640.21036775
138,1770298064,137,73923640.21036775
139,1770298065,138,73923640.21036775
140,1770298066,139,73923640.21036775
141,1770298067,140,73923640.21036775
142,1770298068,141,73923640.21036775
143,1770298069,142,69547871.32627052
144,1770298070,143,73989506.1928865
145,1770298071,144,73989506.1928865
146,1770298072,145,69163943.58109027
147,1770298073,146,68547848.49139877
148,1770298074,147,67931753.40170726
149,1770298075,148,67315658.31201576
150,1770298076,149,66699563.22232425
151,1770298077,150,66083468.13263275
152,1770298078,151,74052656.35589963
153,1770298079,152,74052656.35589963
154,1770298080,153,74052656.35589963
155,1770298081,154,74010572.1539356
156,1770298082,155,74010572.1539356
157,1770298083,156,73983967.09112418
158,1770298084,157,73939967.962946
159,1770298085,158,73939967.962946
160,1770298086,159,73939967.962946
161,1770298087,160,73939967.962946
162,1770298088,161,73939967.962946
163,1770298089,162,73939967.962946
164,1770298090,163,73939967.962946
165,1770298091,164,73939967.962946
166,1770298092,165,68802001.15636328
167,1770298093,166,74000795.33236602
168,1770298094,167,74000795.33236602
169,1770298095,168,74051388.01765943
170,1770298096,169,74051388.01765943
171,1770298097,170,74051388.01765943
172,1770298098,171,68676059.43577883
173,1770298099,172,74091371.12535982
174,1770298100,173,74091371.12535982
175,1770298101,174,74091371.12535982
176,1770298102,175,74091371.12535982
177,1770298103,176,74091371.12535982
178,1770298104,177,74091371.12535982
179,1770298105,178,74091371.12535982
180,1770298106,179,74091371.12535982
181,1770298107,180,74091371.12535982
182,1770298108,181,74091371.12535982
183,1770298109,182,74185018.0065812
184,1770298110,183,74108026.95569229
185,1770298111,184,67619162.35057041
186,1770298112,185,74013517.79400316
187,1770298113,186,74013517.79400316
188,1770298114,187,67064251.043433115
189,1770298115,188,67679622.03827533
190,1770298116,189,68294993.03311753
191,1770298117,190,68910364.02795973
192,1770298118,191,73958252.29865035
193,1770298119,192,73936392.80384372
194,1770298120,193,73936392.80384372
195,1770298121,194,73936392.80384372
196,1770298122,195,73936392.80384372
197,1770298123,196,73917365.60298789
198,1770298124,197,73917365.60298789
199,1770298125,198,73917365.60298789
200,1770298126,199,73917365.60298789
201,1770298127,200,73892534.72058359
202,1770298128,201,73892534.72058359
203,1770298129,202,73892534.72058359
204,1770298130,203,73892534.72058359
205,1770298131,204,73892534.72058359
206,1770298132,205,73912211.23212726
207,1770298133,206,73912211.23212726
208,1770298134,207,73912211.23212726
209,1770298135,208,73912211.23212726
210,1770298136,209,73912211.23212726
211,1770298137,210,74077386.15232605
212,1770298138,211,74168291.06806684
213,1770298139,212,74168291.06806684
214,1770298140,213,74168291.06806684
215,1770298141,214,74168291.06806684
216,1770298142,215,74168291.06806684
217,1770298143,216,74168291.06806684
218,1770298144,217,74132243.9040825
219,1770298145,218,74132243.9040825
220,1770298146,219,74132243.9040825
221,1770298147,220,74132243.9040825
222,1770298148,221,74132243.9040825
223,1770298149,222,74132243.9040825
224,1770298150,223,74064556.34031755
225,1770298151,224,74064556.34031755
226,1770298152,225,74054748.03504692
227,1770298153,226,66542110.84608045
