index,average,min,max,std_dev,window
133,862542.71,862542.66,862542.764,0.02881,10
134,862542.711,862542.678,862542.745,0.02329,10
135,862542.704,862542.688,862542.725,0.01051,10
136,862542.702,862542.676,862542.752,0.02327,10
137,862542.71,862542.68,862542.752,0.02261,10
138,862542.706,862542.657,862542.748,0.02706,10
139,862542.709,862542.655,862542.729,0.02075,10
140,862542.717,862542.675,862542.756,0.02912,10
141,862542.715,862542.678,862542.759,0.02777,10
142,862542.699,862542.663,862542.724,0.01611,10
143,862542.694,862542.662,862542.715,0.01536,10
144,862542.723,862542.681,862542.787,0.03641,10
145,862542.707,862542.686,862542.739,0.01398,10
146,862542.701,862542.658,862542.739,0.02346,10
147,862542.698,862542.669,862542.721,0.01551,10
148,862542.723,862542.669,862542.806,0.03597,10
149,862542.71,862542.66,862542.749,0.02352,10
150,862542.712,862542.672,862542.763,0.02521,10
151,862542.708,862542.654,862542.755,0.02408,10
152,862542.72,862542.685,862542.774,0.02967,10
153,862542.734,862542.686,862542.78,0.03198,10
154,862542.703,862542.664,862542.741,0.02727,10
155,862542.709,862542.659,862542.758,0.03317,10
156,862542.709,862542.678,862542.754,0.02524,10
157,862542.703,862542.688,862542.714,0.00694,10
158,862542.71,862542.678,862542.756,0.02996,10
159,862542.712,862542.685,862542.737,0.0152,10
160,862542.709,862542.677,862542.751,0.02228,10
161,862542.715,862542.677,862542.759,0.02958,10
162,862542.713,862542.673,862542.755,0.02809,10
163,862542.695,862542.659,862542.728,0.02321,10
164,862542.707,862542.681,862542.759,0.02556,10
165,862542.709,862542.68,862542.746,0.01766,10
166,862542.715,862542.663,862542.757,0.03323,10
167,862542.716,862542.673,862542.755,0.0262,10
168,862542.747,862542.673,862542.886,0.0571,10
169,862542.719,862542.687,862542.772,0.02908,10
170,862542.717,862542.675,862542.779,0.03223,10
171,862542.707,862542.657,862542.748,0.02516,10
172,862542.746,862542.668,862542.826,0.04182,10
173,862542.719,862542.666,862542.803,0.03456,10
174,862542.721,862542.677,862542.763,0.02914,10
175,862542.706,862542.675,862542.726,0.01549,10
176,862542.714,862542.675,862542.777,0.03086,10
177,862542.713,862542.689,862542.769,0.02105,10
178,862542.711,862542.687,862542.756,0.02093,10
179,862542.709,862542.678,862542.745,0.0199,10
180,862542.719,862542.679,862542.765,0.02809,10
181,862542.714,862542.663,862542.776,0.03155,10
182,862542.715,862542.663,862542.755,0.031,10
183,862542.721,862542.696,862542.776,0.02272,10
184,862542.707,862542.686,862542.724,0.01341,10
185,862542.709,862542.667,862542.753,0.02583,10
186,862542.705,862542.688,862542.718,0.01032,10
187,862542.712,862542.685,862542.763,0.0242,10
188,862542.729,862542.681,862542.776,0.03124,10
189,862542.723,862542.659,862542.786,0.03829,10
190,862542.701,862542.658,862542.73,0.02378,10
191,862542.713,862542.671,862542.76,0.02675,10
192,862542.704,862542.687,862542.732,0.01303,10
193,862542.707,862542.674,862542.739,0.01674,10
194,862542.721,862542.665,862542.754,0.02834,10
195,862542.709,862542.683,862542.741,0.01697,10
196,862542.717,862542.685,862542.757,0.0275,10
197,862542.705,862542.659,862542.75,0.03028,10
198,862542.702,862542.654,862542.749,0.02666,10
199,862542.708,862542.661,862542.743,0.02377,10
200,862542.697,862542.672,862542.725,0.01372,10
201,862542.707,862542.678,862542.747,0.01873,10
202,862542.706,862542.671,862542.741,0.01737,10
203,862542.718,862542.67,862542.758,0.02825,10
204,862542.71,862542.671,862542.757,0.02601,10
205,862542.703,862542.662,862542.752,0.02464,10
206,862542.714,862542.677,862542.786,0.03142,10
207,862542.704,862542.681,862542.72,0.01123,10
208,862542.71,862542.668,862542.769,0.03039,10
209,862542.724,862542.686,862542.826,0.0432,10
210,862542.722,862542.693,862542.766,0.02189,10
211,862542.725,862542.661,862542.818,0.04201,10
212,862542.707,862542.68,862542.739,0.02189,10
213,862542.708,862542.674,862542.737,0.02104,10
214,862542.716,862542.685,862542.752,0.0205,10
215,862542.7,862542.663,862542.736,0.02387,10
216,862542.724,862542.667,862542.793,0.03268,10
217,862542.701,862542.666,862542.719,0.01512,10
218,862542.7,862542.679,862542.718,0.01208,10
219,862542.729,862542.685,862542.833,0.0441,10
220,862542.705,862542.671,862542.747,0.02243,10
221,862542.708,862542.679,862542.749,0.02609,10
222,862542.71,862542.663,862542.812,0.0385,10
223,862542.7,862542.661,862542.743,0.02631,10
