index,delta
1,0.1489999999757856
2,0.0990000000456348
3,0.12199999997392297
4,0.10199999995529652
5,0.12300000002142042
6,0.11900000006426126
7,0.10699999995995313
8,0.10800000000745058
9,0.10699999995995313
10,0.13399999996181577
11,0.1130000000121072
12,0.10400000005029142
13,0.1159999999217689
14,0.10100000002421439
15,0.11999999999534339
16,0.106000000028871
17,0.12800000002607703
18,0.1270000000949949
19,0.12100000004284084
20,0.10999999998603016
21,0.11900000006426126
22,0.09299999999348074
23,0.11999999999534339
24,0.09799999999813735
25,0.1389999999664724
26,0.11199999996460974
27,0.08999999996740371
28,0.11899999994784594
29,0.12699999997857958
30,0.12600000004749745
31,0.09899999992921948
32,0.10700000007636845
33,0.1300000000046566
34,0.1270000000949949
35,0.09199999994598329
36,0.12400000006891787
37,0.11600000003818423
38,0.10799999989103526
39,0.12599999993108213
40,0.12100000004284084
41,0.10100000002421439
42,0.11600000003818423
43,0.11199999996460974
44,0.10800000000745058
45,0.12800000002607703
46,0.12300000002142042
47,0.09199999994598329
48,0.13799999991897494
49,0.11199999996460974
50,0.10300000000279397
51,0.12399999995250255
52,0.10000000009313226
53,0.1180000000167638
54,0.11999999999534339
55,0.12099999992642552
56,0.11499999999068677
57,0.11899999994784594
58,0.10899999993853271
59,0.125
60,0.10699999995995313
61,0.12399999995250255
62,0.12300000002142042
63,0.1159999999217689
64,0.09200000006239861
65,0.12199999997392297
66,0.13300000003073364
67,0.11199999996460974
68,0.11199999996460974
69,0.11399999994318932
70,0.10000000009313226
71,0.09899999992921948
72,0.1039999999338761
73,0.09999999997671694
74,0.10999999998603016
75,0.09000000008381903
76,0.09799999999813735
77,0.09600000001955777
78,0.09500000008847564
79,0.09199999994598329
80,0.09199999994598329
81,0.10800000000745058
82,0.0849999999627471
83,0.125
84,0.09299999999348074
85,0.09399999992456287
86,0.106000000028871
87,0.08400000003166497
88,0.10700000007636845
89,0.1300000000046566
90,0.10199999995529652
91,0.12400000006891787
92,0.11900000006426126
93,0.11899999994784594
94,0.10999999998603016
95,0.11199999996460974
96,0.1159999999217689
97,0.09600000001955777
98,0.12599999993108213
99,0.1180000000167638
100,0.10800000000745058
101,0.11499999999068677
102,0.12199999997392297
103,0.1159999999217689
104,0.11199999996460974
105,0.09299999999348074
106,0.13299999991431832
107,0.09100000001490116
108,0.14000000001396984
109,0.09199999994598329
110,0.10899999993853271
111,0.11699999996926636
112,0.10899999993853271
113,0.1489999999757856
114,0.33399999991524965
115,0.6800000000512227
116,1.018999999971129
117,1.271999999997206
118,1.2669999999925494
119,1.306999999913387
120,1.2940000001108274
121,1.2979999999515712
122,1.312999999965541
123,1.2700000000186265
124,1.2949999999254942
125,1.3000000000465661
126,1.2839999999850988
127,1.2920000000158325
128,1.3209999999962747
129,1.3119999999180436
130,1.3050000000512227
131,1.3199999999487773
132,1.2880000000586733
133,1.3240000000223517
134,1.3249999999534339
135,1.3219999999273568
136,1.3169999999227002
137,1.312000000034459
138,1.3199999999487773
139,1.331000000005588
140,1.3580000000074506
141,1.359000000054948
142,1.3809999999357387
143,1.3439999999245629
144,1.2870000000111759
145,1.287999999942258
146,1.3140000000130385
147,1.3240000000223517
148,1.2800000000279397
149,1.296000000089407
150,1.2959999999729916
151,1.3399999999674037
152,1.349999999976717
153,1.3079999999608845
154,1.3070000000298023
155,1.293999999994412
156,1.2809999999590218
157,1.3190000000176951
158,1.3270000000484288
159,1.3119999999180436
160,1.3179999999701977
161,1.3379999999888241
162,1.3490000000456348
163,1.3680000000167638
164,1.3079999999608845
165,1.3049999999348074
166,1.2920000000158325
167,1.3040000000037253
168,1.3030000000726432
169,1.3299999999580905
170,1.3040000000037253
171,1.3199999999487773
172,1.262999999918975
173,1.3199999999487773
174,1.33199999993667
175,1.3460000000195578
176,1.309000000008382
177,1.312999999965541
178,1.290999999968335
179,1.2839999999850988
180,1.2679999999236315
181,1.2989999999990687
182,1.296000000089407
183,1.2809999999590218
184,1.2889999999897555
185,1.2989999999990687
186,1.3230000000912696
187,1.312999999965541
188,1.3119999999180436
189,1.2880000000586733
190,1.3190000000176951
191,1.271000000066124
192,1.2709999999497086
193,1.271999999997206
194,1.2630000000353903
195,1.275000000023283
196,1.2770000000018626
197,1.3320000000530854
198,1.3449999999720603
199,1.3449999999720603
200,1.3369999999413267
201,1.3179999999701977
202,1.2929999999469146
203,1.2850000000325963
204,1.3050000000512227
205,1.331000000005588
206,1.3429999999934807
207,1.3569999999599531
208,1.3640000000596046
209,1.3759999999310821
210,1.359000000054948
211,1.3399999999674037
212,1.3639999999431893
213,1.3569999999599531
214,1.3029999999562278
215,1.3080000000772998
216,1.2679999999236315
217,1.290999999968335
218,1.2690000000875443
219,1.2049999999580905
220,1.2510000000474975
221,1.2770000000018626
222,1.3059999999823049
