index,delta
1,0.12249999993946403
2,0.1112000000430271
3,0.11210000002756715
4,0.12179999996442348
5,0.1095000000204891
6,0.11309999995864928
7,0.11849999998230487
8,0.11729999992530793
9,0.11219999997410923
10,0.11690000002272427
11,0.11999999999534339
12,0.11430000001564622
13,0.11309999995864928
14,0.11189999990165234
15,0.12359999993350357
16,0.11510000005364418
17,0.11180000007152557
18,0.12260000000242144
19,0.11320000002160668
20,0.11170000000856817
21,0.11239999998360872
22,0.11899999994784594
23,0.11770000006072223
24,0.11499999999068677
25,0.128400000045076
26,0.1124999999301508
27,0.10580000001937151
28,0.12060000002384186
29,0.12379999994300306
30,0.11220000009052455
31,0.11659999995026737
32,0.11510000005364418
33,0.12059999990742654
34,0.10939999995753169
35,0.10750000004190952
36,0.12319999991450459
37,0.11570000008214265
38,0.10739999997895211
39,0.11549999995622784
40,0.11750000005122274
41,0.11149999999906868
42,0.1182000000262633
43,0.1147000000346452
44,0.1072999999159947
45,0.11520000000018626
46,0.10869999998249114
47,0.11369999998714775
48,0.11869999999180436
49,0.11829999997280538
50,0.11430000001564622
51,0.11410000000614673
52,0.11859999992884696
53,0.11190000001806766
54,0.1130000000121072
55,0.11720000009518117
56,0.11869999999180436
57,0.11979999986942858
58,0.11349999997764826
59,0.11499999999068677
60,0.11739999998826534
61,0.11119999992661178
62,0.11589999997522682
63,0.11770000006072223
64,0.11199999996460974
65,0.11349999997764826
66,0.10860000003594905
67,0.11589999997522682
68,0.11899999994784594
69,0.11879999993834645
70,0.11580000002868474
71,0.10429999988991767
72,0.1213999999454245
73,0.11880000005476177
74,0.11349999997764826
75,0.11899999994784594
76,0.11950000002980232
77,0.11769999994430691
78,0.1124999999301508
79,0.1126999999396503
80,0.11420000006910414
81,0.11170000000856817
82,0.1143999999621883
83,0.1142999998992309
84,0.11690000002272427
85,0.11739999998826534
86,0.11890000000130385
87,0.11179999995511025
88,0.1150000001071021
89,0.11769999994430691
90,0.10570000007282943
91,0.12219999998342246
92,0.11399999994318932
93,0.1112000000430271
94,0.11069999996107072
95,0.11349999997764826
96,0.11879999993834645
97,0.11010000004898757
98,0.12029999995138496
99,0.11380000005010515
100,0.1159999999217689
101,0.12049999996088445
102,0.11009999993257225
103,0.1128000000026077
104,0.11860000004526228
105,0.11650000000372529
106,0.11400000005960464
107,0.12089999997988343
108,0.11160000006202608
109,0.119499999913387
110,0.11699999996926636
111,0.11510000005364418
112,0.1180000000167638
113,0.1108999999705702
114,0.1182000000262633
115,0.1195999999763444
116,0.1162999999942258
117,0.1145999999716878
118,0.11099999991711229
119,0.1182000000262633
120,0.11200000008102506
121,0.12109999998938292
122,0.10820000001695007
123,0.12109999998938292
124,0.12239999999292195
125,0.10549999994691461
126,0.11910000001080334
127,0.11509999993722886
128,0.11499999999068677
129,0.11359999992419034
130,0.12000000011175871
131,0.11670000001322478
132,0.11769999994430691
133,0.11369999998714775
134,0.11349999997764826
135,0.1143999999621883
136,0.1145999999716878
137,0.11650000000372529
138,0.11320000002160668
139,0.11399999994318932
140,0.10880000004544854
141,0.11409999988973141
142,0.11069999996107072
143,0.12319999991450459
144,0.1180000000167638
145,0.11100000003352761
146,0.12109999998938292
147,0.10910000000149012
148,0.11380000005010515
149,0.126700000022538
150,0.11279999988619238
151,0.11560000001918525
152,0.11360000004060566
153,0.11569999996572733
154,0.11050000006798655
155,0.12049999996088445
156,0.12080000003334135
157,0.11490000004414469
158,0.10999999998603016
159,0.11289999994914979
160,0.1182000000262633
161,0.11809999996330589
162,0.10999999998603016
163,0.10580000001937151
164,0.11319999990519136
165,0.11940000008326024
166,0.11939999996684492
167,0.11780000000726432
168,0.11549999995622784
169,0.12210000003688037
170,0.11529999994672835
171,0.10989999992307276
172,0.11430000001564622
173,0.11349999997764826
174,0.11069999996107072
175,0.11449999990873039
176,0.1178999999538064
177,0.11740000010468066
178,0.11780000000726432
179,0.11399999994318932
180,0.1124999999301508
181,0.12509999994654208
182,0.11060000001452863
183,0.11199999996460974
184,0.11479999986477196
185,0.11649999988730997
186,0.1079000000609085
187,0.11430000001564622
188,0.11730000004172325
189,0.11119999992661178
190,0.117799999890849
191,0.10800000000745058
192,0.10809999995399266
193,0.11690000002272427
194,0.11769999994430691
195,0.1150000001071021
196,0.11609999998472631
197,0.12009999994188547
198,0.1128000000026077
199,0.11220000009052455
200,0.11780000000726432
201,0.11860000004526228
202,0.11739999998826534
203,0.11259999987669289
204,0.11329999996814877
205,0.11709999991580844
206,0.1108999999705702
207,0.1252000000094995
208,0.11400000005960464
209,0.10719999996945262
210,0.11809999996330589
211,0.11520000000018626
212,0.11259999999310821
213,0.11220000009052455
214,0.11530000006314367
215,0.11209999991115183
216,0.1215000000083819
217,0.11999999987892807
218,0.10940000007394701
219,0.11560000001918525
220,0.11259999999310821
221,0.11319999990519136
