index,delta
1,1.1750000000465661
2,1.165099999983795
3,1.1574999999720603
4,1.1680999998934567
5,1.1730000000679865
6,1.1582000000635162
7,1.1601999999256805
8,1.1692999999504536
9,1.1734999999171123
10,1.1754999998956919
11,1.1738999999361113
12,1.164699999964796
13,1.1604999999981374
14,1.1626000000396743
15,1.1602000000420958
16,1.143900000024587
17,1.141399999964051
18,1.1500999999698251
19,1.1679000000003725
20,1.1690999999409541
21,1.168500000028871
22,1.1654000000562519
23,1.1694999999599531
24,1.1661999999778345
25,1.1768000000156462
26,1.165000000037253
27,1.1569000000599772
28,1.1851999999489635
29,1.1897999999346212
30,1.1782000000821427
31,1.1911000000545755
32,1.1844000000273809
33,1.1761999999871477
34,1.1679000000003725
35,1.1559000000124797
36,1.1589999999850988
37,1.1684999999124557
38,1.1700999999884516
39,1.1700000000419095
40,1.1618000000016764
41,1.1591999999945983
42,1.1708000000799075
43,1.1696000000229105
44,1.1753999999491498
45,1.1830000000772998
46,1.1743000000715256
47,1.1613000000361353
48,1.1591000000480562
49,1.1639999999897555
50,1.1748000000370666
51,1.1746999999741092
52,1.1785000000381842
53,1.1682999999029562
54,1.1713000000454485
55,1.1994000000413507
56,1.208600000012666
57,1.1847000000998378
58,1.1611000000266358
59,1.16890000004787
60,1.1670999999623746
61,1.171400000108406
62,1.1712999999290332
63,1.182399999932386
64,1.1924000000581145
65,1.1859000000404194
66,1.173200000077486
67,1.1709000000264496
68,1.1712000000989065
69,1.1735000000335276
70,1.187900000018999
71,1.1864999999525025
72,1.1790000000037253
73,1.1718999999575317
74,1.1851000000024214
75,1.1898000000510365
76,1.1951000000117347
77,1.1810000000987202
78,1.1826000000583008
79,1.186199999996461
80,1.190000000060536
81,1.1809000000357628
82,1.1872999999905005
83,1.1756000000750646
84,1.173600000096485
85,1.1814000000013039
86,1.1763999999966472
87,1.1833000000333413
88,1.188300000037998
89,1.1977999999653548
90,1.1771999999182299
91,1.1537000000244007
92,1.1585000000195578
93,1.1683000000193715
94,1.182299999985844
95,1.1793000000761822
96,1.1709000000264496
97,1.1744000000180677
98,1.1872000000439584
99,1.1929000000236556
100,1.1938000000081956
101,1.1837999999988824
102,1.1902000000700355
103,1.1920999999856576
104,1.190100000007078
105,1.1796000000322238
106,1.182299999985844
107,1.1828000000678003
108,1.1829000000143424
109,1.1848000000463799
110,1.1772999999811873
111,1.1837999999988824
112,1.1902000000700355
113,1.2014000000199303
114,1.1940000000176951
115,1.182299999985844
116,1.1963000000687316
117,1.188300000037998
118,1.183199999970384
119,1.173700000043027
120,1.1673000000882894
121,1.1852000000653788
122,1.1842000000178814
123,1.1843999999109656
124,1.1799999999348074
125,1.1967000000877306
126,1.2053000000305474
127,1.194800000055693
128,1.1864999999525025
129,1.1951999999582767
130,1.167699999990873
131,1.1790999999502674
132,1.1967000000877306
133,1.1869000000879169
134,1.162899999995716
135,1.1656000000657514
136,1.187900000018999
137,1.189100000075996
138,1.1851000000024214
139,1.1881000000284985
140,1.180199999944307
141,1.184000000008382
142,1.1912999999476597
143,1.184099999954924
144,1.1829000000143424
145,1.1859999999869615
146,1.1832000000867993
147,1.1762999999336898
148,1.1716999999480322
149,1.1945000000996515
150,1.2055000000400469
151,1.181899999966845
152,1.1774999999906868
153,1.1953999999677762
154,1.1999000000068918
155,1.1889000000664964
156,1.1908999999286607
157,1.1835000000428408
158,1.188800000003539
159,1.190000000060536
160,1.1972999999998137
161,1.1891999999061227
162,1.1852000000653788
163,1.172000000020489
164,1.166399999987334
165,1.1822000000393018
166,1.1713999999919906
167,1.172400000039488
168,1.1787999999942258
169,1.1750000000465661
170,1.1859999999869615
171,1.1761999999871477
172,1.1814000000013039
173,1.1592999999411404
174,1.166300000040792
175,1.1841000000713393
176,1.1737999999895692
177,1.1811999999918044
178,1.1842000000178814
179,1.1846999999834225
180,1.1826000000583008
181,1.1787999999942258
182,1.1816000000108033
183,1.1697999999159947
184,1.1713000000454485
185,1.1775999999372289
186,1.170299999997951
187,1.1695000000763685
188,1.1669999998994172
189,1.165099999983795
190,1.1717000000644475
191,1.187099999981001
192,1.1981999999843538
193,1.1990000000223517
194,1.1885000000474975
195,1.1839999998919666
196,1.1750000000465661
197,1.1829999999608845
198,1.1822000000393018
199,1.1838999999454245
200,1.1772000000346452
201,1.1791999998968095
202,1.1837000000523403
203,1.1795000000856817
204,1.1907999999821186
205,1.2057999999960884
206,1.1928000000771135
207,1.1762999999336898
208,1.193100000033155
209,1.2039000000804663
210,1.1787999999942258
211,1.1535000000149012
212,1.140099999960512
213,1.1459999999497086
214,1.1744000000180677
215,1.1864000000059605
216,1.147400000016205
217,1.141399999964051
218,1.1295000000391155
219,1.1520000000018626
220,1.168999999994412
