index,timestamp,relative_time,value
1,1770288605,0,2284814336.0
2,1770288606,1,2284814336.0
3,1770288607,2,2284814336.0
4,1770288608,3,2284814336.0
5,1770288609,4,2284814336.0
6,1770288610,5,2292215808.0
7,1770288611,6,2292215808.0
8,1770288612,7,2292215808.0
9,1770288613,8,2292215808.0
10,1770288614,9,2292215808.0
11,1770288615,10,2292215808.0
12,1770288616,11,2292215808.0
13,1770288617,12,2287759360.0
14,1770288618,13,2287759360.0
15,1770288619,14,2287759360.0
16,1770288620,15,2287759360.0
17,1770288621,16,2287759360.0
18,1770288622,17,2287759360.0
19,1770288623,18,2287759360.0
20,1770288624,19,2287759360.0
21,1770288625,20,2291535872.0
22,1770288626,21,2291535872.0
23,1770288627,22,2291535872.0
24,1770288628,23,2291535872.0
25,1770288629,24,2291535872.0
26,1770288630,25,2291535872.0
27,1770288631,26,2296221696.0
28,1770288632,27,2296221696.0
29,1770288633,28,2296221696.0
30,1770288634,29,2296221696.0
31,1770288635,30,2296221696.0
32,1770288636,31,2296221696.0
33,1770288637,32,2296221696.0
34,1770288638,33,2296221696.0
35,1770288639,34,2296221696.0
36,1770288640,35,2296221696.0
37,1770288641,36,2289823744.0
38,1770288642,37,2289823744.0
39,1770288643,38,2289823744.0
40,1770288644,39,2289823744.0
41,1770288645,40,2289823744.0
42,1770288646,41,2289823744.0
43,1770288647,42,2289823744.0
44,1770288648,43,2289823744.0
45,1770288649,44,2289823744.0
46,1770288650,45,2295906304.0
47,1770288651,46,2295906304.0
48,1770288652,47,2295906304.0
49,1770288653,48,2295906304.0
50,1770288654,49,2295906304.0
51,1770288655,50,2295906304.0
52,1770288656,51,2306641920.0
53,1770288657,52,2306641920.0
54,1770288658,53,2306641920.0
55,1770288659,54,2306641920.0
56,1770288660,55,2306641920.0
57,1770288661,56,2306641920.0
58,1770288662,57,2306641920.0
59,1770288663,58,2306641920.0
60,1770288664,59,2306641920.0
61,1770288665,60,2306641920.0
62,1770288666,61,2313703424.0
63,1770288667,62,2313703424.0
64,1770288668,63,2313703424.0
65,1770288669,64,2313703424.0
66,1770288670,65,2310098944.0
67,1770288671,66,2310098944.0
68,1770288672,67,2310098944.0
69,1770288673,68,2310098944.0
70,1770288674,69,2310098944.0
71,1770288675,70,2310098944.0
72,1770288676,71,2310098944.0
73,1770288677,72,2310098944.0
74,1770288678,73,2310098944.0
75,1770288679,74,2310098944.0
76,1770288680,75,2310098944.0
77,1770288681,76,2304561152.0
78,1770288682,77,2304561152.0
79,1770288683,78,2304561152.0
80,1770288684,79,2304561152.0
81,1770288685,80,2303905792.0
82,1770288686,81,2303905792.0
83,1770288687,82,2303905792.0
84,1770288688,83,2303905792.0
85,1770288689,84,2303905792.0
86,1770288690,85,2303905792.0
87,1770288691,86,2303905792.0
88,1770288692,87,2303905792.0
89,1770288693,88,2303905792.0
90,1770288694,89,2303905792.0
91,1770288695,90,2323091456.0
92,1770288696,91,2323091456.0
93,1770288697,92,2323091456.0
94,1770288698,93,2323091456.0
95,1770288699,94,2323091456.0
96,1770288700,95,2323091456.0
97,1770288701,96,2323091456.0
98,1770288702,97,2323091456.0
99,1770288703,98,2323091456.0
100,1770288704,99,2323091456.0
101,1770288705,100,2323091456.0
