index,timestamp,relative_time,value
1,1770290690,0,69850648.69975667
2,1770290691,1,74987828.18788704
3,1770290692,2,74987828.18788704
4,1770290693,3,75057761.0972969
5,1770290694,4,75057761.0972969
6,1770290695,5,75057761.0972969
7,1770290696,6,75057761.0972969
8,1770290697,7,75057761.0972969
9,1770290698,8,75057761.0972969
10,1770290699,9,75095733.5041037
11,1770290700,10,75096639.73890114
12,1770290701,11,75096639.73890114
13,1770290702,12,75096639.73890114
14,1770290703,13,75096639.73890114
15,1770290704,14,75096639.73890114
16,1770290705,15,75115647.26028082
17,1770290706,16,75115647.26028082
18,1770290707,17,75048316.25536984
19,1770290708,18,75048316.25536984
20,1770290709,19,75048316.25536984
21,1770290710,20,75048316.25536984
22,1770290711,21,75048316.25536984
23,1770290712,22,75048316.25536984
24,1770290713,23,75048316.25536984
25,1770290714,24,75048316.25536984
26,1770290715,25,69634853.78881095
27,1770290716,26,62468716.66623802
28,1770290717,27,68399688.54505135
29,1770290718,28,75051908.64413632
30,1770290719,29,75042336.03312597
31,1770290720,30,75042336.03312597
32,1770290721,31,75071863.54616436
33,1770290722,32,75071863.54616436
34,1770290723,33,75071863.54616436
35,1770290724,34,75071863.54616436
36,1770290725,35,75071863.54616436
37,1770290726,36,75071863.54616436
38,1770290727,37,75071863.54616436
39,1770290728,38,75071863.54616436
40,1770290729,39,75071863.54616436
41,1770290730,40,75071863.54616436
42,1770290731,41,75071863.54616436
43,1770290732,42,70540011.67638947
44,1770290733,43,69895778.04472078
45,1770290734,44,69895778.04472078
46,1770290735,45,62560087.53312996
47,1770290736,46,63128670.74577069
48,1770290737,47,63697253.95841143
49,1770290738,48,64265837.17105217
50,1770290739,49,68773943.93634303
51,1770290740,50,68773943.93634303
52,1770290741,51,68773943.93634303
53,1770290742,52,68773943.93634303
54,1770290743,53,69078995.49592504
55,1770290744,54,69078995.49592504
56,1770290745,55,69078995.49592504
57,1770290746,56,63728852.04135491
58,1770290747,57,63160268.82871418
59,1770290748,58,68846722.5589284
60,1770290749,59,68846722.5589284
61,1770290750,60,68846722.5589284
62,1770290751,61,68846722.5589284
63,1770290752,62,68846722.5589284
64,1770290753,63,67965959.68005157
65,1770290754,64,67965959.68005157
66,1770290755,65,67965959.68005157
67,1770290756,66,67965959.68005157
68,1770290757,67,67965959.68005157
69,1770290758,68,67965959.68005157
70,1770290759,69,62975758.27809988
71,1770290760,70,54451939.58619495
72,1770290761,71,62681370.30770955
73,1770290762,72,67690260.54925045
74,1770290763,73,62620114.206284836
