index,timestamp,relative_time,value
1,1770283801,0,61.22301290556025
2,1770283802,1,61.22301290556025
3,1770283803,2,61.22301290556025
4,1770283804,3,61.22301290556025
5,1770283805,4,61.22301290556025
6,1770283806,5,61.22301290556025
7,1770283807,6,61.22301290556025
8,1770283808,7,52.639716560125436
9,1770283809,8,51.61933301169944
10,1770283810,9,50.59894946327342
11,1770283811,10,67.8116621983914
12,1770283812,11,68.34766744852752
13,1770283813,12,68.34766744852752
14,1770283814,13,68.34766744852752
15,1770283815,14,68.34766744852752
16,1770283816,15,68.34766744852752
17,1770283817,16,68.34766744852752
18,1770283818,17,68.34766744852752
19,1770283819,18,68.34766744852752
20,1770283820,19,68.34766744852752
21,1770283821,20,68.34766744852752
22,1770283822,21,64.26453980801807
23,1770283823,22,64.26453980801807
24,1770283824,23,64.26453980801807
25,1770283825,24,59.467434500154674
26,1770283826,25,59.467434500154674
27,1770283827,26,59.467434500154674
28,1770283828,27,59.467434500154674
29,1770283829,28,59.467434500154674
30,1770283830,29,59.467434500154674
31,1770283831,30,59.467434500154674
32,1770283832,31,59.467434500154674
33,1770283833,32,59.467434500154674
34,1770283834,33,58.20564888314564
35,1770283835,34,58.20564888314564
36,1770283836,35,58.20564888314564
37,1770283837,36,58.20564888314564
38,1770283838,37,58.20564888314564
39,1770283839,38,58.20564888314564
40,1770283840,39,64.82926829268293
41,1770283841,40,64.82926829268293
42,1770283842,41,64.82926829268293
43,1770283843,42,64.82926829268293
44,1770283844,43,64.82926829268293
45,1770283845,44,64.82926829268293
46,1770283846,45,64.82926829268293
47,1770283847,46,64.82926829268293
48,1770283848,47,64.82926829268293
49,1770283849,48,55.658447967479674
50,1770283850,49,54.577960162601634
51,1770283851,50,7080444.1678766515
52,1770283852,51,7080444.1678766515
53,1770283853,52,8390121.595155451
54,1770283854,53,8562401.583967792
55,1770283855,54,8734681.572780132
56,1770283856,55,8906961.561592476
57,1770283857,56,10336799.328740506
