index,mean
1,4.9383677457785
2,5.213038227915163
3,5.487708710051827
4,5.762379192188489
5,6.037049674325154
6,6.136571279916753
7,6.411241762053416
8,6.68591224419008
9,6.960582726326743
10,7.235253208463408
11,7.50992369060007
12,7.784594172736734
13,8.059264654873397
14,8.33393513701006
15,4.6937401762986175
16,4.838469559031134
17,4.983198941763652
18,5.12792832449617
19,5.272657707228689
20,5.417387089961205
21,5.562116472693722
22,5.70684585542624
23,5.851575238158757
24,5.996304620891275
25,6.141034003623792
26,6.28576338635631
27,6.430492769088827
28,6.575222151821345
29,6.719951534553862
30,6.86468091728638
31,4.701553276601936
32,4.796251072805296
33,4.890948869008656
34,4.985646665212016
35,5.080344461415376
36,5.1750422576187365
37,5.269740053822097
38,5.364437850025458
39,5.4449488690086545
40,5.5165177103789365
41,5.5880865517492175
42,5.6596553931194995
43,5.681867772201615
44,5.681867772201615
45,0.2298548630721744
46,0.2298548630721744
47,0.2298548630721744
48,0.2960081190798376
49,0.2960081190798376
50,0.2960081190798376
51,0.2960081190798376
52,0.2960081190798376
53,0.2960081190798376
54,0.2960081190798376
55,0.2960081190798376
56,0.2960081190798376
57,0.2960081190798376
58,0.2960081190798376
59,0.2960081190798376
60,0.47110442204646924
61,0.38926182231801604
62,0.38926182231801604
63,0.38926182231801604
64,0.38926182231801604
65,0.38926182231801604
66,0.35255117523219687
67,0.3489817499096738
68,0.30836110011857254
69,0.30836110011857254
70,0.30836110011857254
71,0.30836110011857254
72,0.30836110011857254
73,0.30836110011857254
74,0.30836110011857254
75,0.3659151885843396
76,0.36591518858433963
77,0.36591518858433963
78,0.3119156765527482
79,0.3119156765527482
80,0.3410882972056263
81,0.3410882972056263
82,0.3410882972056263
83,0.3410882972056263
84,0.2817865557870728
85,0.2817865557870728
86,0.2817865557870728
87,0.2817865557870728
88,0.2817865557870728
89,0.2817865557870728
90,0.2817865557870728
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.12352214575613196
103,0.12352214575613196
104,0.12352214575613196
105,0.18598719345325077
106,0.18598719345325077
107,0.18598719345325077
108,0.18598719345325077
109,0.18598719345325077
110,0.18598719345325077
111,0.18598719345325077
112,0.18598719345325077
113,0.18598719345325077
114,0.18598719345325077
115,0.18598719345325077
116,0.18598719345325077
117,0.18598719345325077
118,0.12954566484685853
119,0.12954566484685853
120,0.12954566484685853
121,0.12954566484685853
122,0.12954566484685853
123,0.256751320046844
124,0.29019724949062276
125,0.29019724949062276
126,0.29019724949062276
127,0.29019724949062276
128,0.3448664643800158
129,0.3448664643800158
130,0.3448664643800158
131,0.3448664643800158
132,0.3448664643800158
133,0.3448664643800158
134,0.3448664643800158
135,0.1818748700893785
136,0.1818748700893785
137,0.1818748700893785
138,0.13159626266614027
139,0.13159626266614027
140,0.13159626266614027
141,0.13159626266614027
142,0.13159626266614027
143,0.13159626266614027
144,0.16828541205885184
145,0.16828541205885184
146,0.16828541205885184
147,0.16828541205885184
148,0.16828541205885184
149,0.16828541205885184
150,0.16828541205885184
151,0.16828541205885184
152,0.16828541205885184
153,0.16828541205885184
154,0.16828541205885184
155,0.11910433539780849
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.1535794993308322
181,0.1535794993308322
182,0.1535794993308322
183,0.1535794993308322
184,0.1535794993308322
185,0.1535794993308322
186,0.1535794993308322
187,0.1535794993308322
188,0.1535794993308322
189,0.1535794993308322
190,0.12591513320022305
191,0.12591513320022305
192,0.12591513320022305
193,0.12591513320022305
194,0.12591513320022305
195,0.17510506303782272
196,0.17510506303782272
197,0.17510506303782272
198,0.17510506303782272
199,0.17510506303782272
200,0.34153001727096033
201,0.34153001727096033
202,0.34153001727096033
203,0.34153001727096033
204,0.34153001727096033
205,0.34153001727096033
206,0.34153001727096033
207,0.34153001727096033
208,0.34153001727096033
209,0.34153001727096033
210,0.16642495423313758
211,0.16642495423313758
